FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
-0.109468305,0.493398027,0.40041198,0.047982471,0.277543408,0.384105717,0.182367615,0.32604397,0,0.329735294,correct
-0.20677511,0.589038161,0.413396452,0.277085423,0.063712795,0.506388164,0.171785661,0.242561385,0,0.324681176,mistake
0.350357965,0.258599201,0.556204999,0.21487184,0.157059448,0,0.107055523,0.311318436,0.836479047,0.272577918,correct
-0.059623784,0.34035414,0.2897077,0.083212959,0,0.406302682,0.163941297,0.228674568,0,0.066155014,correct
-0.097520913,0.262116868,0.179279335,0.376990585,0,0,0.155303773,0.264455249,0,0.153281202,correct
0.679338716,0.085928962,0.662982038,0.123587658,0,0,1,1,0,0.119125301,mistake
-0.448267368,0.67830583,0.297532503,0.724428897,0,0.251147052,0.249094198,0.400711189,0,0.185688798,mistake
-0.033453843,0.321108732,0.292691916,0.461835859,0,0,0.35465843,0.350540186,0,0.230348365,correct
0.151715895,0.209885271,0.338757837,0.301868292,0,0,0.409914182,0.318795673,0,0.354080119,correct
-0.049923252,0.400864057,0.358457573,0.316792096,0.259752164,0,0.488857546,0.281114619,0,0.37578514,correct
-0.00479385,0.36043379,0.356361733,0.356589988,0,0.161805286,0.17631664,0.598854046,0,0.239839665,mistake
-0.271322218,0.536122904,0.305652718,0.398610541,0,0.372470272,0.215174038,0.272256784,0,0.203989403,correct
-0.075305471,0.82123029,0.757263298,0.181137598,0,1,0.180501174,0.239980411,0,1,correct
0.697299696,0.287883177,0.902171386,0.414049078,0,0,0.089767655,0.213485037,1,1,mistake
-0.005114128,0.29962371,0.295279599,0.204591138,0,0.226343806,0.127025625,0.292126452,0,0.264376579,correct
-0.31780293,0.903983734,0.634031273,1,0.300158056,0,0.18454659,0.231869436,1,0.261527635,mistake
-0.495419313,0.669485287,0.248659517,0.848422713,0.114467055,0,0.066478775,0.389537725,0,0.338787346,correct
0.555386196,0.215976848,0.687740498,0.310629525,0,0,0.087528924,0.223173208,1,0.46575204,correct
-0.3293614,0.977027392,0.697256779,1,0.405213375,0,0.495662053,0.468777186,0.409987247,0.731524731,mistake
-1,1,0.150566482,0.883857357,1,0,0,0,0,0.481263779,mistake
0.532371737,0.111628351,0.563842749,0.160549901,0,0,0.715938411,0.510742506,0,0.575560118,correct
0.554184224,0.374618719,0.845361374,0.231816972,0.30697983,0,1,1,0,0.702074224,correct
0.257358839,0.528725983,0.747335208,0.760442163,0,0,0.299469687,0.431335769,0.849153033,0.55459833,correct
0.321371241,0.448510159,0.721493663,0.645071448,0,0,0.245249081,0.328342745,1,0.421987445,correct
0.257572288,0.651350132,0.870140667,0.936806813,0,0,0.209522251,0.421818832,1,0.669932894,mistake
0.182112851,0.56527012,0.71996288,0.813001908,0,0,0.111337668,0.4261449,1,0.439045212,correct
0.358724284,0.695287569,1,1,0,0,0.329928884,0.654606282,0.932637104,1,mistake
-0.685245626,1,0.417929397,0.475994369,1,0,0.290413045,0.596122899,0,0.449314361,correct
-0.052840985,0.397394716,0.352509812,0.369536824,0.093799392,0.108218251,0.318685347,0.383314481,0,0.300298161,correct
0.695646587,0.080166211,0.671071739,0.115299358,0,0,0.102498302,0.266052596,1,0.215799996,correct
-0.228182077,0.659678788,0.465853284,0.508336214,0.440449321,0,0.349333982,0.771125112,0,0.368572923,correct
0.592866533,0.367581336,0.871182041,0.317626627,0.211048633,0,0.656864361,0.592993448,0.91253301,0.349051743,correct
0.173297574,0.276685694,0.380932103,0.345819603,0,0,0.099231053,0.499565349,0,0.645489615,mistake
0.076866561,0.410537178,0.456775927,0.111757802,0.401358008,0,0.316060624,0.175963528,0,1,mistake
0.708315193,0.047133129,0.473217081,0.058910021,0,0,0.290628322,0.253842781,0.446388147,0.475145532,mistake
0.945112748,0.03704021,0.971996853,0.046295241,0,0,0.405400173,0.439737301,1,0.329817021,correct
0.248928735,0.272547383,0.42228939,0.103746529,0,0.236900745,0.372578478,0.469891273,0,0.303274556,mistake
-0.42668904,1,0.743327047,0.129896937,0.401358008,1,0.649429019,0.610869615,0,0.167723165,mistake
0.37168585,0.289384934,0.512970955,0.088038744,0.273653187,0,0.462649719,0.244818916,0.475045464,0.408225634,mistake
0.551580711,0.668199,1,0.246208901,0.588949251,0,0.882052159,0.410419085,1,0.776653963,correct
0.342315529,0.171598377,0.377516809,0.214474705,0,0,0.304872617,0.515047003,0,0.413210594,correct
0.228041401,0.247020822,0.384198144,0.26850175,0,0.040240785,0.194540624,0.397189591,0,0.58385293,correct
0.893072977,0.147504674,0.684728875,0.184360843,0,0,0.193723074,0.284989278,1,0.528337128,correct
0.945112748,0.149753208,0.847850242,0.187171206,0,0,0.277394648,0.614012789,1,0.606472633,correct
-0.043515861,0.753428088,0.727251309,0.941682956,0,0,0.282024023,0.403634206,0.738196598,0.819817783,correct
0.11362797,0.800086784,0.8684392,1,0,0,0.626892727,0.613595905,0.844387724,0.601010548,correct
